orig.ident	nCount_RNA	nFeature_RNA	percent.mt	S.Score	G2M.Score	Phase	old.ident	Sample.ID	Sample.name	Condition	RDS	Time	Day	Replicate	Batch	Dissection	Genotype	Multiplexing	Directory	Chip.10x.type	pretty.geno	RNA_snn_res.0.4	seurat_clusters	Fate	FateColor	UMAP_1	UMAP_2	Hoxa9	Hoxb9	Hoxc9	Hoxd9	Hoxa10	Hoxc10	Hoxd10	Hoxb13	Chl1
144h.Deli9-13_het.rep1	15893	4206	4.07726672119801	-0.219135868771116	0.214677848243861	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.381899524303911	4.42386011696115	1	4	7	2	0	3	0	2	0
144h.Deli9-13_het.rep1	16824	4712	2.36566809320019	-0.223968985366824	0.342367853915377	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.07375030574465	4.23197369194284	3	7	6	2	3	14	0	0	0
144h.Deli9-13_het.rep1	17382	4436	1.73167644689909	0.0727844669954333	-0.105055487927703	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.22978763637209	4.44800691223398	1	3	2	0	2	4	0	6	0
144h.Deli9-13_het.rep1	12568	3815	2.47453851050286	-0.139724573070059	-0.113041249936676	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.03868727740907	4.19285873985544	1	6	3	1	2	9	0	6	0
144h.Deli9-13_het.rep1	11107	3579	2.27784280183668	0.0010097735621778	-0.395319795429168	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.22257452067995	4.12056092834726	1	6	3	2	1	1	0	4	0
144h.Deli9-13_het.rep1	11978	3831	1.88679245283019	0.0653433615764238	-0.0242614955028861	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.6623111253705	4.17929153061167	2	4	2	0	1	7	0	3	0
144h.Deli9-13_het.rep1	25245	5316	1.87759952465835	0.0905850163873282	-0.166092689884257	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.786706495853899	4.53971891021982	1	7	7	1	0	10	0	1	0
144h.Deli9-13_het.rep1	11545	3644	1.87093980077956	0.0693583206436377	-0.266212104735699	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.14134602603578	5.10690097427622	1	3	3	0	0	8	0	9	0
144h.Deli9-13_het.rep1	13905	4023	1.74038115785689	0.177754402084298	-0.252851628269053	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.573234599259855	4.70262722587839	1	1	7	1	0	3	0	0	0
144h.Deli9-13_het.rep1	16263	4402	1.71555063641395	-0.211097573801519	0.125563300558274	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.5741661077466	4.07289175606027	0	12	2	0	1	4	1	4	0
144h.Deli9-13_het.rep1	13341	4276	1.88141818454389	-0.113284407250869	0.34306039723209	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.86141305026674	4.22744803047434	0	6	3	2	1	14	0	3	0
144h.Deli9-13_het.rep1	17495	4512	1.77765075735925	-0.228872683775619	-0.0801868263265298	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.686577606770037	4.40792946434274	1	3	2	2	1	2	0	0	0
