ID	age	geno	length
3435	53	m424;w453	85
3429	67	m438	91
3429	69	m438	92
3429	71	m438	92
3429	73	m438	93
3366	101	m438;w453	96
3366	95	m438;w453	96
3429	79	m438	92
3429	86	m438	92
3429	86	m438	93
3432	29	m424	76
3432	31	m424	78
3432	33	m424	78
3432	35	m424	81
3432	37	m424	83
3371	101	m438;w453	96
3371	95	m438;w453	95
3432	39	m424	84
3372	101	m438;w453	84
3432	41	m424	85
3372	95	m438;w453	84
3430	55	m424;w453	83
3373	94	m438;w453	94
3431	55	m424;w453	89
3373	88	m438;w453	93
3432	43	m424	87
3432	45	m424	87
3432	47	m424	88
3430	59	m424;w453	84
3432	49	m424	89
3374	94	m438;w453	99
3431	59	m424;w453	90
3432	51	m424	91
3433	59	m424;w453	92
3434	59	m424;w453	84
3435	59	m424;w453	89
3432	53	m424	92
3432	55	m424	92
3433	55	m424;w453	90
3374	88	m438;w453	99
3434	55	m424;w453	82
3375	94	m438;w453	99
3435	55	m424;w453	87
3375	88	m438;w453	98
3432	57	m424	94
3376	94	m438;w453	94
3432	59	m424	96
3376	88	m438;w453	95
3377	94	m438;w453	98
3377	88	m438;w453	97
3378	94	m438;w453	103
3378	88	m438;w453	103
3432	61	m424	96
3385	73	m424;w453	91
3432	63	m424	96
3386	73	m424;w453	91
3385	79	m424;w453	93
3432	69	m424	98
3386	79	m424;w453	92
3432	76	m424	98
3436	29	m424	72
3436	31	m424	74
3436	33	m424	75
3436	35	m424	76
3436	37	m424	77
3430	61	m424;w453	84
3430	63	m424;w453	84
3436	39	m424	80
3431	61	m424;w453	91
3431	63	m424;w453	91
3436	41	m424	82
3436	43	m424	85
3436	45	m424	85
3430	69	m424;w453	86
3433	61	m424;w453	93
3433	63	m424;w453	94
3431	69	m424;w453	91
3434	61	m424;w453	84
3434	63	m424;w453	85
3436	47	m424	86
3435	61	m424;w453	90
3435	63	m424;w453	90
3433	69	m424;w453	95
3436	49	m424	86
3436	51	m424	89
3434	69	m424;w453	85
3436	53	m424	90
3436	55	m424	92
3435	69	m424;w453	90
3436	57	m424	93
3436	59	m424	93
3436	61	m424	95
3366	108	m438;w453	95
3436	63	m424	96
3436	69	m424	97
3436	76	m424	99
3371	108	m438;w453	96
3372	108	m438;w453	85
3373	101	m438;w453	95
3374	101	m438;w453	100
3375	101	m438;w453	98
3376	101	m438;w453	96
3377	101	m438;w453	99
3378	101	m438;w453	103
3437	29	wt	71
3385	86	m424;w453	94
3386	86	m424;w453	94
3437	31	wt	73
3437	33	wt	74
3437	35	wt	76
3437	37	wt	78
3430	76	m424;w453	86
3431	76	m424;w453	91
3437	39	wt	79
3433	76	m424;w453	95
3434	76	m424;w453	86
3435	76	m424;w453	91
3437	41	wt	80
3437	43	wt	82
3437	45	wt	82
3366	108	m438;w453	96
3437	47	wt	82
3437	49	wt	83
3437	51	wt	83
3437	53	wt	84
3374	101	m438;w453	101
3375	101	m438;w453	100
3376	101	m438;w453	97
3437	55	wt	88
3437	57	wt	88
3437	59	wt	88
3437	61	wt	88
3437	63	wt	89
3431	76	m424;w453	92
3437	69	wt	90
3433	76	m424;w453	96
3434	76	m424;w453	87
3435	76	m424;w453	92
3437	76	wt	91
